year,period_type,carbon_stock_MtC,change_from_previous_MtC,change_from_2005_MtC,change_from_2025_MtC
2005,observed,1041.388406713274,,0.0,21.41790749945062
2010,observed,1036.7105271811524,-4.677879532121551,-4.677879532121551,16.74002796732907
2015,observed,1039.702239932602,2.9917127514495405,-1.6861667806720106,19.73174071877861
2020,observed,1015.5447492353325,-24.15749069726951,-25.84365747794152,-4.425749978490899
2025,observed,1019.9704992138234,4.425749978490899,-21.41790749945062,0.0
2030,BAU forecast,1013.0969544204082,-6.873544793415135,-28.291452292865756,-6.873544793415135
2035,BAU forecast,1006.4871373662014,-6.609817054206815,-34.90126934707257,-13.48336184762195
