start_year,end_year,origin_code,origin_name,destination_code,destination_name,area_km2,carbon_change_MtC
2025,2035,4,Grassland,4,Grassland,92623.59,0.0
2025,2035,4,Grassland,5,Water,326.52,-3.2962194000000005
2025,2035,4,Grassland,7,Barren,1750.5,-12.6333585
2025,2035,5,Water,2,Forest,0.09,0.00172719
2025,2035,5,Water,4,Grassland,6.4799999999999995,0.0654156
2025,2035,5,Water,5,Water,5502.69,0.0
2025,2035,5,Water,7,Barren,127.53,0.36703134000000004
2025,2035,6,Snow/Ice,5,Water,1.71,0.0
2025,2035,6,Snow/Ice,6,Snow/Ice,689.67,0.0
2025,2035,6,Snow/Ice,7,Barren,156.51,0.45043578
2025,2035,7,Barren,4,Grassland,384.93,2.77803981
2025,2035,7,Barren,5,Water,416.43,-1.19848554
2025,2035,7,Barren,6,Snow/Ice,4.5,-0.012951
2025,2035,7,Barren,7,Barren,21339.63,0.0
2005,2035,2,Forest,2,Forest,7.6499999999999995,0.0
2005,2035,2,Forest,3,Shrub,0.09,-0.0006072299999999999
2005,2035,2,Forest,4,Grassland,0.8999999999999999,-0.0081864
2005,2035,3,Shrub,4,Grassland,0.27,-0.0006342300000000003
2005,2035,4,Grassland,2,Forest,3.96,0.036020159999999996
2005,2035,4,Grassland,4,Grassland,91559.43,0.0
2005,2035,4,Grassland,5,Water,911.6999999999999,-9.2036115
2005,2035,4,Grassland,6,Snow/Ice,0.27,-0.00272565
2005,2035,4,Grassland,7,Barren,4867.92,-35.13177864
2005,2035,5,Water,2,Forest,0.09,0.00172719
2005,2035,5,Water,4,Grassland,24.48,0.2471256
2005,2035,5,Water,5,Water,4403.7,0.0
2005,2035,5,Water,7,Barren,258.84,0.74494152
2005,2035,6,Snow/Ice,4,Grassland,7.92,0.0799524
2005,2035,6,Snow/Ice,5,Water,1.6199999999999999,0.0
2005,2035,6,Snow/Ice,6,Snow/Ice,683.01,0.0
2005,2035,6,Snow/Ice,7,Barren,271.08,0.78016824
2005,2035,7,Barren,4,Grassland,1422.36,10.265172119999999
2005,2035,7,Barren,5,Water,930.3299999999999,-2.67748974
2005,2035,7,Barren,6,Snow/Ice,10.889999999999999,-0.03134142
2005,2035,7,Barren,7,Barren,17976.51,0.0
