year,valid_pixels,area_km2,mask_exact_match,max_abs_difference_MgC_ha
2005,1370478,123343.01999999999,True,1.52587890625e-05
2010,1370478,123343.01999999999,True,1.52587890625e-05
2015,1370478,123343.01999999999,True,1.52587890625e-05
2020,1370478,123343.01999999999,True,1.52587890625e-05
2025,1370478,123343.01999999999,True,1.52587890625e-05
2030,1370478,123343.01999999999,True,1.52587890625e-05
2035,1370478,123343.01999999999,True,1.52587890625e-05
